label,message
ham,The project deadline for the project has been extended to next Friday.
ham,Can we reschedule our the interview to next week?
spam,"FREE ENTRY: You've been chosen to test our new TV for free, just pay shipping."
spam,"ALERT: Act fast! Only 3 cruise trips left at 90% discount, order now."
ham,Let's plan the dinner for next month.
ham,Can you help me understand this marketing assignment?
spam,CONGRATULATIONS: Exclusive deal: Buy one gift card and get another absolutely free! Offer ends soon.
ham,Can you send me the notes before tomorrow morning? Thanks!
ham,"See you at the office at tonight, don't be late!"
ham,Can you send me the summary before 8 PM? Thanks!
ham,"Hey, are we still meeting for class tomorrow at tonight?"
ham,Let me know if you're free for dinner this weekend.
ham,"See you at college at noon, don't be late!"
spam,Breaking News: URGENT: Your bank account has unusual activity. Login now to secure it: your-refund-portal.com
ham,Can you pick me up from the library after work?
spam,"FREE ENTRY: Get a loan of $750 approved instantly, no credit check required!"
spam,Hey there: Win a brand new tablet by simply sharing this message with 10 friends!
spam,Final Notice: You have 1 new voicemail regarding your $750 settlement claim. Call now.
spam,FREE ENTRY: This is your final reminder to claim your $10000 refund. Act now: bit.ly/claim-now
ham,"I'll be home by 5 PM, do you need me to pick up anything?"
ham,Please review the notes and let me know your thoughts.
ham,"See you at the gym at tomorrow morning, don't be late!"
ham,Can you pick me up from the office after work?
spam,WINNER!!: Text WIN to 80086 to enter our weekly draw and win a brand new vacation package!
ham,Can we reschedule our the workshop to next week?
ham,"Hey, are we still meeting for the workshop tomorrow at tonight?"
ham,"Hey, are we still meeting for lunch tomorrow at noon?"
ham,Can you send me the contract before tomorrow morning? Thanks!
ham,"I'll be home by tonight, do you need me to pick up anything?"
spam,URGENT: Your parcel could not be delivered. Pay a small fee to reschedule: bit.ly/claim-now
ham,Let's plan the the interview for next month.
ham,"Hey, are we still meeting for the workshop tomorrow at noon?"
ham,"See you at downtown at next Monday, don't be late!"
ham,Can you pick me up from the station after work?
spam,Attention: Your parcel could not be delivered. Pay a small fee to reschedule: your-refund-portal.com
spam,CONGRATULATIONS: Your parcel could not be delivered. Pay a small fee to reschedule: secure-verify-account.com
spam,"CONGRATULATIONS: Double your investment in vacation package stocks this week only, guaranteed returns!"
spam,Dear Customer: This is your final reminder to claim your $250 refund. Act now: click-to-claim.co
spam,Final Notice: Exclusive deal: Buy one tablet and get another absolutely free! Offer ends soon.
spam,"Final Notice: Double your investment in laptop stocks this week only, guaranteed returns!"
spam,Dear Customer: You have won a $10000 cash prize! Claim now by clicking the link below.
ham,Don't forget we have dinner scheduled for tonight.
spam,"FREE ENTRY: Earn $500 per day working from home! No experience needed, sign up now."
spam,Hey there: You have an unclaimed prize of $2500. Verify your account to receive it.
spam,"Breaking News: FREE laptop just for you! Limited stock, claim before midnight."
ham,"I'm still working on the proposal, will share it soon."
ham,"I'm still working on the spreadsheet, will share it soon."
ham,Can you send me the notes before next Monday? Thanks!
spam,"FREE ENTRY: Double your investment in iPhone stocks this week only, guaranteed returns!"
ham,Can you send me the spreadsheet before this weekend? Thanks!
spam,"FREE ENTRY: Get a loan of $250 approved instantly, no credit check required!"
ham,Please find attached the summary you requested.
ham,"Hey, are we still meeting for the interview tomorrow at tomorrow morning?"
spam,ALERT: Congratulations! You've been chosen for a free laptop worth $750.
spam,"FREE ENTRY: Earn $10000 per day working from home! No experience needed, sign up now."
spam,WINNER!!: Your Netflix account is on hold. Update billing info immediately: win-big-prizes.net
ham,The meeting about the app design has been moved to tomorrow morning.
spam,WINNER!!: Text WIN to 80086 to enter our weekly draw and win a brand new laptop!
spam,"Final Notice: Act fast! Only 3 cruise trips left at 90% discount, order now."
spam,Attention: Congratulations! You've been chosen for a free vacation package worth $750.
ham,"See you at the mall at 10 AM, don't be late!"
ham,Please review the summary and let me know your thoughts.
spam,Attention: You have 1 new voicemail regarding your $750 settlement claim. Call now.
spam,"ALERT: Act fast! Only 3 laptops left at 90% discount, order now."
ham,Can you send me the summary before 3:30 PM? Thanks!
spam,Limited Time Offer: This is your final reminder to claim your $2500 refund. Act now: win-big-prizes.net
spam,Limited Time Offer: Your account will be suspended unless you verify your details immediately: your-refund-portal.com
spam,"ALERT: Act fast! Only 3 TVs left at 90% discount, order now."
ham,Can you send me the notes before 10 AM? Thanks!
spam,IMPORTANT: Your parcel could not be delivered. Pay a small fee to reschedule: secure-verify-account.com
spam,Breaking News: This is your final reminder to claim your $2500 refund. Act now: click-to-claim.co
ham,Can you send me the resume before noon? Thanks!
spam,"Hey there: Get a loan of $5000 approved instantly, no credit check required!"
spam,Limited Time Offer: Hot singles in your area want to chat with you now! Click win-big-prizes.net
spam,Attention: Congratulations! You've been chosen for a free gift card worth $5000.
ham,"I finished the assignment, sending it over shortly."
ham,Don't forget we have our trip scheduled for tomorrow morning.
spam,"FREE ENTRY: Claim your government grant of $500 today, no repayment needed!"
ham,The meeting about the budget has been moved to next Monday.
spam,Limited Time Offer: Exclusive deal: Buy one vacation package and get another absolutely free! Offer ends soon.
ham,"Hey, are we still meeting for the meeting tomorrow at 8 PM?"
ham,The meeting about the app design has been moved to noon.
spam,Attention: URGENT: Your bank account has unusual activity. Login now to secure it: your-refund-portal.com
spam,Final Notice: You have won a $500 cash prize! Claim now by clicking the link below.
ham,Don't forget we have the party scheduled for tomorrow morning.
spam,FREE ENTRY: Your Netflix account is on hold. Update billing info immediately: bit.ly/claim-now
spam,"Breaking News: Act fast! Only 3 PlayStations left at 90% discount, order now."
ham,"Hey, are we still meeting for our call tomorrow at 5 PM?"
ham,The project deadline for machine learning has been extended to next Friday.
ham,Please find attached the report you requested.
spam,Hey there: This is your final reminder to claim your $1000 refund. Act now: click-to-claim.co
ham,"Hey, are we still meeting for the workshop tomorrow at 10 AM?"
ham,Reminder: your appointment is scheduled for tonight.
spam,FREE ENTRY: You have an unclaimed prize of $2500. Verify your account to receive it.
ham,How was your trip to home? Hope it went well.
ham,"I'll be home by 8 PM, do you need me to pick up anything?"
ham,Don't forget we have the meeting scheduled for tomorrow morning.
ham,The meeting about the client call has been moved to noon.
ham,"I'm still working on the notes, will share it soon."
spam,"CONGRATULATIONS: Act fast! Only 3 smartwatchs left at 90% discount, order now."
spam,"IMPORTANT: Double your investment in smartwatch stocks this week only, guaranteed returns!"
ham,"Hey, are we still meeting for our call tomorrow at noon?"
ham,Can we reschedule our our trip to next week?
spam,Final Notice: Verify your identity now to avoid permanent account suspension: click-to-claim.co
ham,Let me know if you're free for lunch this weekend.
ham,Let's plan the our call for next month.
spam,"IMPORTANT: Earn $10000 per day working from home! No experience needed, sign up now."
spam,Dear Customer: URGENT: Your bank account has unusual activity. Login now to secure it: your-refund-portal.com
ham,How was your trip to the station? Hope it went well.
ham,"See you at downtown at noon, don't be late!"
ham,"See you at the gym at 10 AM, don't be late!"
ham,"See you at the office at this weekend, don't be late!"
spam,ALERT: Your subscription payment of $500 has failed. Update your card here: your-refund-portal.com
ham,The meeting about the client call has been moved to next Monday.
spam,"Breaking News: Act fast! Only 3 TVs left at 90% discount, order now."
spam,"Attention: You are pre-approved for a $1000 credit card. Apply now, no fees!"
spam,Attention: Text WIN to 80086 to enter our weekly draw and win a brand new iPhone!
spam,IMPORTANT: This is your final reminder to claim your $2500 refund. Act now: your-refund-portal.com
ham,Can you send me the report before 5 PM? Thanks!
ham,Don't forget we have our call scheduled for 5 PM.
spam,Limited Time Offer: Win a brand new coupon book by simply sharing this message with 10 friends!
spam,"Breaking News: Get a loan of $10000 approved instantly, no credit check required!"
ham,The meeting about python has been moved to 8 PM.
spam,"Dear Customer: You are pre-approved for a $1000 credit card. Apply now, no fees!"
spam,"IMPORTANT: You are pre-approved for a $2500 credit card. Apply now, no fees!"
ham,"I'll be home by 10 AM, do you need me to pick up anything?"
spam,Final Notice: Text WIN to 80086 to enter our weekly draw and win a brand new tablet!
spam,Hey there: Your mobile number has been selected to receive a free TV. Reply YES to claim.
spam,Breaking News: Your account will be suspended unless you verify your details immediately: secure-verify-account.com
ham,The meeting about the budget has been moved to noon.
spam,Hey there: Your Netflix account is on hold. Update billing info immediately: click-to-claim.co
spam,CONGRATULATIONS: You have an unclaimed prize of $1000. Verify your account to receive it.
ham,"Hey, are we still meeting for the interview tomorrow at tonight?"
spam,Limited Time Offer: Your parcel could not be delivered. Pay a small fee to reschedule: your-refund-portal.com
ham,"Hey, are we still meeting for the workshop tomorrow at 3:30 PM?"
spam,Final Notice: You have an unclaimed prize of $750. Verify your account to receive it.
ham,"See you at the library at 3:30 PM, don't be late!"
spam,Hey there: Text WIN to 80086 to enter our weekly draw and win a brand new laptop!
spam,"Breaking News: FREE tablet just for you! Limited stock, claim before midnight."
ham,"See you at home at 5 PM, don't be late!"
ham,Don't forget we have the meeting scheduled for tonight.
spam,"Final Notice: You are pre-approved for a $2500 credit card. Apply now, no fees!"
ham,The meeting about machine learning has been moved to next Monday.
ham,Thank you for attending the marketing session today.
ham,"See you at the office at tomorrow morning, don't be late!"
spam,"IMPORTANT: Double your investment in vacation package stocks this week only, guaranteed returns!"
ham,The meeting about history has been moved to next Monday.
spam,"ALERT: Claim your government grant of $2500 today, no repayment needed!"
ham,I'll send you the contract once I finish reviewing it.
spam,Final Notice: Your parcel could not be delivered. Pay a small fee to reschedule: click-to-claim.co
spam,URGENT: You have 1 new voicemail regarding your $1000 settlement claim. Call now.
ham,Don't forget we have our call scheduled for next Monday.
ham,Don't forget we have lunch scheduled for 5 PM.
ham,"Just landed, will call you once I reach the office."
spam,"Attention: Earn $750 per day working from home! No experience needed, sign up now."
spam,"Limited Time Offer: Get a loan of $250 approved instantly, no credit check required!"
ham,"Thanks for the help with python today, really appreciate it."
ham,Can you send me the proposal before 10 AM? Thanks!
ham,Great job on the the app design presentation today!
ham,Don't forget we have our call scheduled for noon.
spam,Dear Customer: You have an unclaimed prize of $750. Verify your account to receive it.
spam,Limited Time Offer: Your subscription payment of $1000 has failed. Update your card here: click-to-claim.co
spam,Final Notice: You have won a $1000 cash prize! Claim now by clicking the link below.
ham,"See you at the library at noon, don't be late!"
spam,"Final Notice: Earn $2500 per day working from home! No experience needed, sign up now."
ham,"See you at the office at 3:30 PM, don't be late!"
ham,The meeting about python has been moved to next Monday.
spam,"URGENT: Earn $250 per day working from home! No experience needed, sign up now."
ham,"See you at the station at this weekend, don't be late!"
spam,CONGRATULATIONS: Click here to claim your free laptop before the offer expires today!
spam,FREE ENTRY: Your mobile number has been selected to receive a free tablet. Reply YES to claim.
ham,"Hey, are we still meeting for lunch tomorrow at next Monday?"
ham,"Hey, are we still meeting for the party tomorrow at 10 AM?"
ham,"See you at the airport at tomorrow morning, don't be late!"
ham,"See you at college at 3:30 PM, don't be late!"
ham,Reminder: your appointment is scheduled for 8 PM.
spam,FREE ENTRY: Your Netflix account is on hold. Update billing info immediately: click-to-claim.co
ham,"Hey, are we still meeting for our trip tomorrow at noon?"
spam,FREE ENTRY: Verify your identity now to avoid permanent account suspension: win-big-prizes.net
ham,Let's plan the lunch for next month.
ham,Can you help me understand this the app design assignment?
spam,"You have been selected: Get a loan of $750 approved instantly, no credit check required!"
spam,WINNER!!: Text WIN to 80086 to enter our weekly draw and win a brand new coupon book!
spam,"ALERT: You've been chosen to test our new iPhone for free, just pay shipping."
spam,Final Notice: Text WIN to 80086 to enter our weekly draw and win a brand new cruise trip!
spam,"URGENT: Claim your government grant of $5000 today, no repayment needed!"
ham,Can you send me the assignment before noon? Thanks!
ham,"Just landed, will call you once I reach the mall."
spam,Limited Time Offer: This is your final reminder to claim your $1000 refund. Act now: win-big-prizes.net
spam,Final Notice: Your subscription payment of $10000 has failed. Update your card here: secure-verify-account.com
spam,Dear Customer: Your subscription payment of $1000 has failed. Update your card here: secure-verify-account.com
ham,Reminder: your appointment is scheduled for noon.
ham,"Hey, are we still meeting for our trip tomorrow at 5 PM?"
spam,"Final Notice: You've been chosen to test our new cruise trip for free, just pay shipping."
spam,"URGENT: Earn $500 per day working from home! No experience needed, sign up now."
ham,The meeting about history has been moved to 8 PM.
spam,Final Notice: Win a brand new tablet by simply sharing this message with 10 friends!
ham,"Hey, are we still meeting for class tomorrow at 10 AM?"
spam,Dear Customer: This is your final reminder to claim your $2500 refund. Act now: your-refund-portal.com
ham,"I'm still working on the summary, will share it soon."
ham,The meeting about python has been moved to 3:30 PM.
ham,The meeting about marketing has been moved to 10 AM.
ham,How was your trip to the gym? Hope it went well.
spam,Breaking News: Your subscription payment of $250 has failed. Update your card here: click-to-claim.co
ham,Are you coming to the mall this evening?
spam,"Hey there: You are pre-approved for a $10000 credit card. Apply now, no fees!"
ham,The meeting about the app design has been moved to this weekend.
ham,"I'm running a bit late, will reach college in 10 minutes."
ham,Don't forget we have the meeting scheduled for 10 AM.
ham,"Hey, are we still meeting for lunch tomorrow at 3:30 PM?"
spam,Attention: Your Netflix account is on hold. Update billing info immediately: win-big-prizes.net
ham,Can you send me the presentation before tomorrow morning? Thanks!
ham,"See you at the library at 8 PM, don't be late!"
spam,IMPORTANT: Congratulations! You've been chosen for a free coupon book worth $2500.
spam,Breaking News: Your account will be suspended unless you verify your details immediately: win-big-prizes.net
spam,"Breaking News: Act fast! Only 3 iPhones left at 90% discount, order now."
ham,Don't forget we have the movie scheduled for 5 PM.
ham,The meeting about the project has been moved to 8 PM.
spam,ALERT: This is your final reminder to claim your $5000 refund. Act now: bit.ly/claim-now
spam,WINNER!!: Your Netflix account is on hold. Update billing info immediately: bit.ly/claim-now
ham,Don't forget we have our trip scheduled for 3:30 PM.
spam,"Limited Time Offer: Earn $250 per day working from home! No experience needed, sign up now."
spam,"Limited Time Offer: Act fast! Only 3 vacation packages left at 90% discount, order now."
ham,Don't forget we have our call scheduled for 3:30 PM.
spam,Final Notice: Hot singles in your area want to chat with you now! Click your-refund-portal.com
spam,IMPORTANT: Win a brand new iPhone by simply sharing this message with 10 friends!
ham,Great job on the data science presentation today!
ham,The meeting about the client call has been moved to tomorrow morning.
ham,Don't forget we have lunch scheduled for 10 AM.
spam,"WINNER!!: Earn $5000 per day working from home! No experience needed, sign up now."
spam,"Limited Time Offer: Claim your government grant of $250 today, no repayment needed!"
spam,Limited Time Offer: Your subscription payment of $1000 has failed. Update your card here: your-refund-portal.com
spam,IMPORTANT: URGENT: Your bank account has unusual activity. Login now to secure it: your-refund-portal.com
ham,Thank you for attending the the project session today.
ham,The meeting about history has been moved to this weekend.
ham,"Just landed, will call you once I reach home."
ham,"See you at the airport at 8 PM, don't be late!"
ham,Don't forget we have the movie scheduled for 8 PM.
spam,CONGRATULATIONS: Hot singles in your area want to chat with you now! Click secure-verify-account.com
ham,Can you help me understand this machine learning assignment?
ham,The meeting about the client call has been moved to this weekend.
ham,"Hey, are we still meeting for the interview tomorrow at 10 AM?"
ham,The meeting about marketing has been moved to tomorrow morning.
ham,"See you at the airport at this weekend, don't be late!"
spam,Dear Customer: Congratulations! You've been chosen for a free gift card worth $1000.
ham,Can you send me the assignment before 3:30 PM? Thanks!
spam,Final Notice: Text WIN to 80086 to enter our weekly draw and win a brand new laptop!
ham,Please find attached the proposal you requested.
spam,"Attention: You've been chosen to test our new cruise trip for free, just pay shipping."
ham,"I'm still working on the presentation, will share it soon."
ham,"See you at downtown at 10 AM, don't be late!"
spam,"CONGRATULATIONS: Earn $5000 per day working from home! No experience needed, sign up now."
ham,"See you at home at tonight, don't be late!"
ham,Can you send me the report before 10 AM? Thanks!
ham,Please review the contract and let me know your thoughts.
spam,Attention: You have 1 new voicemail regarding your $10000 settlement claim. Call now.
ham,"See you at the office at noon, don't be late!"
ham,"Hey, are we still meeting for class tomorrow at 3:30 PM?"
ham,Let me know if you're free for the meeting this weekend.
ham,The project deadline for marketing has been extended to next Friday.
spam,"Limited Time Offer: Act fast! Only 3 TVs left at 90% discount, order now."
ham,"Hey, are we still meeting for the interview tomorrow at 8 PM?"
ham,Don't forget we have the meeting scheduled for 8 PM.
ham,"Thanks for the help with the budget today, really appreciate it."
spam,"Hey there: Claim your government grant of $5000 today, no repayment needed!"
ham,"Hey, are we still meeting for the party tomorrow at noon?"
ham,Thank you for attending the the budget session today.
spam,Limited Time Offer: URGENT: Your bank account has unusual activity. Login now to secure it: win-big-prizes.net
spam,FREE ENTRY: Text WIN to 80086 to enter our weekly draw and win a brand new TV!
spam,IMPORTANT: Hot singles in your area want to chat with you now! Click click-to-claim.co
ham,Can you send me the resume before 3:30 PM? Thanks!
spam,"URGENT: Claim your government grant of $10000 today, no repayment needed!"
spam,Dear Customer: Your parcel could not be delivered. Pay a small fee to reschedule: bit.ly/claim-now
spam,Dear Customer: Your mobile number has been selected to receive a free cruise trip. Reply YES to claim.
spam,FREE ENTRY: Click here to claim your free tablet before the offer expires today!
ham,"I finished the spreadsheet, sending it over shortly."
ham,"I'm running a bit late, will reach the mall in 10 minutes."
ham,"Hey, are we still meeting for the meeting tomorrow at 5 PM?"
ham,"Thanks for the help with marketing today, really appreciate it."
spam,WINNER!!: Your subscription payment of $750 has failed. Update your card here: win-big-prizes.net
ham,"See you at downtown at tonight, don't be late!"
spam,ALERT: Text WIN to 80086 to enter our weekly draw and win a brand new vacation package!
ham,Don't forget we have class scheduled for 8 PM.
spam,"Breaking News: You've been chosen to test our new TV for free, just pay shipping."
spam,"FREE ENTRY: FREE cruise trip just for you! Limited stock, claim before midnight."
spam,CONGRATULATIONS: URGENT: Your bank account has unusual activity. Login now to secure it: secure-verify-account.com
ham,How was your trip to college? Hope it went well.
spam,URGENT: Your account will be suspended unless you verify your details immediately: click-to-claim.co
ham,The meeting about python has been moved to tomorrow morning.
spam,You have been selected: Exclusive deal: Buy one cruise trip and get another absolutely free! Offer ends soon.
ham,Don't forget we have the workshop scheduled for 10 AM.
spam,"Dear Customer: Earn $250 per day working from home! No experience needed, sign up now."
spam,Dear Customer: Text WIN to 80086 to enter our weekly draw and win a brand new cruise trip!
spam,Breaking News: Verify your identity now to avoid permanent account suspension: bit.ly/claim-now
ham,"Hey, are we still meeting for the movie tomorrow at tomorrow morning?"
ham,Don't forget we have the meeting scheduled for 5 PM.
ham,"Hey, are we still meeting for dinner tomorrow at noon?"
ham,Can you send me the invoice before tomorrow morning? Thanks!
ham,The meeting about the budget has been moved to tonight.
spam,Hey there: URGENT: Your bank account has unusual activity. Login now to secure it: secure-verify-account.com
ham,The meeting about the app design has been moved to 8 PM.
spam,Limited Time Offer: Your parcel could not be delivered. Pay a small fee to reschedule: win-big-prizes.net
ham,Don't forget we have the interview scheduled for 8 PM.
ham,"Hey, are we still meeting for our call tomorrow at this weekend?"
spam,Dear Customer: Your parcel could not be delivered. Pay a small fee to reschedule: secure-verify-account.com
ham,"See you at the office at 5 PM, don't be late!"
spam,"ALERT: Act fast! Only 3 PlayStations left at 90% discount, order now."
spam,WINNER!!: Your subscription payment of $500 has failed. Update your card here: secure-verify-account.com
spam,Attention: Text WIN to 80086 to enter our weekly draw and win a brand new PlayStation!
spam,Dear Customer: URGENT: Your bank account has unusual activity. Login now to secure it: win-big-prizes.net
spam,You have been selected: Your subscription payment of $1000 has failed. Update your card here: secure-verify-account.com
ham,How was your trip to the library? Hope it went well.
spam,Final Notice: Click here to claim your free smartwatch before the offer expires today!
ham,"Thanks for the help with the app design today, really appreciate it."
spam,URGENT: Exclusive deal: Buy one vacation package and get another absolutely free! Offer ends soon.
ham,"See you at the airport at tonight, don't be late!"
spam,"FREE ENTRY: Get a loan of $1000 approved instantly, no credit check required!"
spam,IMPORTANT: Text WIN to 80086 to enter our weekly draw and win a brand new tablet!
ham,Don't forget we have the party scheduled for this weekend.
